Node, Degree, Centrality, Closeness
15, 12,0.9545454545454546,0.6111111111111112
21, 13,0.9230769230769231,0.6285714285714286
16, 13,0.9230769230769231,0.6285714285714286
20, 14,0.6153846153846154,0.6666666666666666
23, 11,0.7818181818181819,0.6285714285714286
25, 7,0.19047619047619047,0.5789473684210527
14, 12,0.9242424242424242,0.6111111111111112
22, 12,0.9242424242424242,0.6111111111111112
17, 13,0.8076923076923077,0.6285714285714286
9, 13,0.8076923076923077,0.6285714285714286
11, 13,0.9230769230769231,0.6285714285714286
13, 13,0.8205128205128205,0.5789473684210527
18, 13,0.9230769230769231,0.6285714285714286
19, 13,0.8076923076923077,0.7096774193548387
10, 13,0.9230769230769231,0.6285714285714286
27, 2,1.0,0.4
24, 5,0.4,0.5365853658536586
12, 3,1.0,0.41509433962264153
5, 3,1.0,0.38596491228070173
8, 3,1.0,0.46808510638297873
26, 3,1.0,0.38596491228070173
6, 3,1.0,0.38596491228070173
7, 3,1.0,0.46808510638297873
